Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
Fosfato de sódio monobásico/Dihidrogênio fosfato de sódio,7558-80-7,"7th JECFA (1963), NMRS 35 (1964), FNP 52 (1992), FAO JECFA MONOGRAPHS 1 (2006)

 FCC",Fonte de Fósforo,"1) Alegação: O fósforo auxilia na formação de ossos e dentes. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O fósforo auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
3) Alegação: O fósforo auxilia no funcionamento das membranas celulares.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
4) Alegação: Fonte de fósforo. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: Alto conteúdo/Rico em/Alto teor de fósforo. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de fósforo corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.","Constituinte permitido apenas para suplementos líquidos de carboidratos e eletrólitos, desde que o produto contenha, no mínimo, 460 miligramas de sódio por litro e, no máximo, 1.150 miligramas de sódio por litro.",
Fosfato de sódio tribásico/Fosfato trissódico,7601-54-9," FCC

USP-NF

19th JECFA (1975), NMRS 55B (1976),
FNP 52 (1992), FAO JECFA MONOGRAPHS 1 (2006)",Fonte de Fósforo,"1) Alegação: O fósforo auxilia na formação de ossos e dentes. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O fósforo auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
3) Alegação: O fósforo auxilia no funcionamento das membranas celulares.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
4) Alegação: Fonte de fósforo. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fósforo atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: Alto conteúdo/Rico em/Alto teor de fósforo. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de fósforo corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.","Constituinte permitido apenas para suplementos líquidos de carboidratos e eletrólitos, desde que o produto contenha, no mínimo, 460 miligramas de sódio por litro e, no máximo, 1.150 miligramas de sódio por litro.",
Fosfato ferroso,10028-23-6,"The EFSA Journal (2009) 951, 1-13",Fonte de Ferro,"1)Alegação: O ferro auxilia na formação das células vermelhas do sangue. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O ferro auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O ferro auxilia no transporte do oxigênio no organismo. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O ferro auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O ferro auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: Fonte de ferro. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
7) Alegação: Alto conteúdo/Rico em/Alto teor de ferro. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de ferro corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Fosfolipídios de ovos,,Para este constituinte foram aprovadas as especificações do fabricante: Polaris – Pleuven – França;,"Fonte de Lipídeos
Fonte de Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,Não há requisitos adicionais,
Frutoborato de cálcio,,EFSA,Fonte de Boro,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência “Este produto não deve ser consumido por
gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",
Frutooligossacarídeos (FOS),,FCC,Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Fumarato ferroso,141-01-5,"FCC 

European pharmocopoeia 9.0

USP-NF",Fonte de Ferro,"1)Alegação: O ferro auxilia na formação das células vermelhas do sangue. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O ferro auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O ferro auxilia no transporte do oxigênio no organismo. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O ferro auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O ferro auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: Fonte de ferro. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
7) Alegação: Alto conteúdo/Rico em/Alto teor de ferro. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de ferro corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Galactooligossacarídeos (GOS),,Para este constituinte foram aprovadas as especificações dos fabricantes: Warrnambool Dheese and Butter Factory Company Holdings Ltd - Victoria - Austrália; Great Ocean Ingredients Pty Ltd - Victoria - Austrália; Ingredion Korea Incorporated - Kyunggi - Coreia do Sul; Friesland Foods Domo - Holanda; GTC Nutrition - Corns Products Internacional Inc.,Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Gelatina,9000-70-8,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Gelatina hidrolisada/Colágeno hidrolisado,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Geleia real,,"Para estes constituintes, aplicam-se somente as especificações estabelecidas na Instrução Normativa nº 3, de 19 de janeiro de 2001, que aprova os regulamentos técnicos de identidade e qualidade de apitoxina, cera de abelha, geleia real, geleia real liofilizada, pólen apícola, própolis e extrato de própolis, e suas atualizações.",Fonte de 10-HDA,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Geleia real liofilizada,,"Para estes constituintes, aplicam-se somente as especificações estabelecidas na Instrução Normativa nº 3, de 19 de janeiro de 2001, que aprova os regulamentos técnicos de identidade e qualidade de apitoxina, cera de abelha, geleia real, geleia real liofilizada, pólen apícola, própolis e extrato de própolis, e suas atualizações.",Fonte de 10-HDA,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Glicerofosfato de cálcio,27214-00-2,"FCC

USP-NF",Fonte de Cálcio,"1) Alegação: O cálcio auxilia na formação e manutenção de ossos e dentes. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O cálcio auxilia na coagulação do sangue. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O cálcio auxilia no funcionamento muscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O cálcio auxilia no funcionamento neuromuscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O cálcio auxilia no processo de divisão celular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O cálcio auxilia no metabolismo energético. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de cálcio. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Realagação: Alto conteúdo/Rico em/Alto teor de cálcio. Requisitos:
A alegação é restrita aos suplementos alimentares cuja quantidade de cálcio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido.",Não há requisitos adicionais,
Glicerofosfato de magnésio,927-20-8, British Pharmacopoeia,Fonte de Magnésio,"1) Alegação:O magnésio auxilia na formação de ossos e dentes. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O magnésio auxilia no metabolismo energético. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O magnésio auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O magnésio auxilia no equilíbrio dos eletrólitos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação:  O magnésio auxilia no funcionamento muscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O magnésio auxilia no funcionamento neuromuscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O magnésio auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de magnésio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de magnésio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de magnésio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Glicerofosfato de manganês,1320-46-3,FCC,Fonte de Manganês,"1) Alegação: O manganês é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
2) Alegação: O manganês auxilia na formação de ossos.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O manganês auxilia no metabolismo energético.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação:  O manganês auxilia na manutenção dos tecidos conectivos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: Fonte de manganês.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação:  Alto conteúdo/Rico em/Alto teor de manganês. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de manganês corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Glicerofosfato de potássio,1319-70-6,,Fonte de Potássio,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,Não há requisitos adicionais,
Glicina,56-40-6,USP-NF,Fonte do aminoácido Glicina,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Glicinato férrico,34369-82-9,Para este constituinte foram aprovadas as especificações do fabricante: Albion Laboratories Inc - Utah - EUA.,Fonte de Ferro,"1)Alegação: O ferro auxilia na formação das células vermelhas do sangue. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O ferro auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O ferro auxilia no transporte do oxigênio no organismo. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O ferro auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O ferro auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: Fonte de ferro. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
7) Alegação: Alto conteúdo/Rico em/Alto teor de ferro. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de ferro corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Gluconato cúprico/Cobre (II) D-gluconato,527-09-3,"FCC 

USP-NF",Fonte de Cobre,"1) Alegação:  O cobre auxilia no funcionamento do sistema imune. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O cobre auxilia no metabolismo energético . Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O cobre contribui para a pigmentação de cabelo e pele. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O cobre auxilia no transporte de ferro no organismo. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O cobre é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação:  O cobre auxilia na manutenção dos tecidos conjuntivos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de cobre. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de cobre atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação:  Alto conteúdo/Rico em/Alto teor de cobre. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de cobre corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Gluconato de cálcio,299-28-5,"FCC 

51st JECFA (1998), FNP 52 Add 6 (1998), FAO JECFA MONOGRAPHS 1 (2006)

 USP-NF",Fonte de Cálcio,"1) Alegação: O cálcio auxilia na formação e manutenção de ossos e dentes. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O cálcio auxilia na coagulação do sangue. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O cálcio auxilia no funcionamento muscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O cálcio auxilia no funcionamento neuromuscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O cálcio auxilia no processo de divisão celular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O cálcio auxilia no metabolismo energético. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de cálcio. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Realagação: Alto conteúdo/Rico em/Alto teor de cálcio. Requisitos:
A alegação é restrita aos suplementos alimentares cuja quantidade de cálcio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido.",Não há requisitos adicionais,
Gluconato de magnésio,3632-91-5,"FCC 

53rd JECFA (1999), FNP 52 Add 7 (1999), FAO JECFA MONOGRAPHS 1 (2006).",Fonte de Magnésio,"1) Alegação:O magnésio auxilia na formação de ossos e dentes. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O magnésio auxilia no metabolismo energético. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O magnésio auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O magnésio auxilia no equilíbrio dos eletrólitos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação:  O magnésio auxilia no funcionamento muscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O magnésio auxilia no funcionamento neuromuscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O magnésio auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de magnésio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de magnésio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de magnésio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Gluconato de manganês,6485-39-8,"FCC 

USP-NF",Fonte de Manganês,"1) Alegação: O manganês é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
2) Alegação: O manganês auxilia na formação de ossos.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O manganês auxilia no metabolismo energético.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação:  O manganês auxilia na manutenção dos tecidos conectivos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: Fonte de manganês.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de manganês atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação:  Alto conteúdo/Rico em/Alto teor de manganês. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de manganês corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Gluconato de potássio,299-27-4,,Fonte de Potássio,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,Não há requisitos adicionais,
Gluconato de sódio,527-07-1,"USP-NF 

FCC",Fonte de Sódio,"1) Alegação: Não contém/Livre de/Zero (0 ou 0%) /Sem/Isento de sódio. Requisitos: A alegação é restrita aos suplementos alimentares cuja
recomendação diária do alimento pronto para consumo
forneça no máximo 5 mg de sódio
2) Alegação: Baixo em/Pouco/Baixo teor de/Leve em sódio. Requisitos: A alegação é restrita aos suplementos alimentares cuja
recomendação diária do alimento pronto para consumo
forneça no máximo 40 mg de sódio.",Não há requisitos adicionais,
